data;casosAcumulados;casosNovos;obitosAcumulados;obitosNovos;diaDaSemana;diaDaSemana_curto;weekday
26/fev;1;1;0;0;quarta-feira;quarta;Wednesday
27/fev;1;0;0;0;quinta-feira;quinta;Thursday
28/fev;1;0;0;0;sexta-feira;sexta;Friday
29/fev;2;1;0;0;sabado;sabado;Saturday
01/mar;2;0;0;0;domingo;domingo;Sunday
02/mar;2;0;0;0;segunda-feira;segunda;Monday
03/mar;2;0;0;0;terca-feira;terca;Tuesday
04/mar;3;1;0;0;quarta-feira;quarta;Wednesday
05/mar;7;4;0;0;quinta-feira;quinta;Thursday
06/mar;13;6;0;0;sexta-feira;sexta;Friday
07/mar;19;6;0;0;sabado;sabado;Saturday
08/mar;25;6;0;0;domingo;domingo;Sunday
09/mar;25;0;0;0;segunda-feira;segunda;Monday
10/mar;34;9;0;0;terca-feira;terca;Tuesday
11/mar;52;18;0;0;quarta-feira;quarta;Wednesday
12/mar;77;25;0;0;quinta-feira;quinta;Thursday
13/mar;98;21;0;0;sexta-feira;sexta;Friday
14/mar;121;23;0;0;sabado;sabado;Saturday
15/mar;200;79;0;0;domingo;domingo;Sunday
16/mar;234;34;0;0;segunda-feira;segunda;Monday
17/mar;291;57;1;1;terca-feira;terca;Tuesday
18/mar;428;137;4;3;quarta-feira;quarta;Wednesday
19/mar;621;193;6;2;quinta-feira;quinta;Thursday
20/mar;904;283;11;5;sexta-feira;sexta;Friday
21/mar;1128;224;18;7;sabado;sabado;Saturday
22/mar;1546;418;25;7;domingo;domingo;Sunday
23/mar;1891;345;34;9;segunda-feira;segunda;Monday
24/mar;2201;310;46;12;terca-feira;terca;Tuesday
25/mar;2433;232;57;11;quarta-feira;quarta;Wednesday
26/mar;2915;482;77;20;quinta-feira;quinta;Thursday
27/mar;3417;502;92;15;sexta-feira;sexta;Friday
28/mar;3903;486;114;22;sabado;sabado;Saturday
29/mar;4256;353;136;22;domingo;domingo;Sunday
30/mar;4579;323;159;23;segunda-feira;segunda;Monday
31/mar;5717;1138;201;42;terca-feira;terca;Tuesday
01/abr;6834;1117;241;40;quarta-feira;quarta;Wednesday
02/abr;7910;1076;299;58;quinta-feira;quinta;Thursday
03/abr;9056;1146;359;60;sexta-feira;sexta;Friday
04/abr;10278;1222;432;73;sabado;sabado;Saturday
05/abr;11130;852;486;54;domingo;domingo;Sunday
06/abr;12056;926;553;67;segunda-feira;segunda;Monday
07/abr;13717;1661;667;114;terca-feira;terca;Tuesday
08/abr;15927;2210;800;133;quarta-feira;quarta;Wednesday
09/abr;17857;1930;941;141;quinta-feira;quinta;Thursday
10/abr;19638;1781;1056;115;sexta-feira;sexta;Friday
11/abr;20727;1089;1124;68;sabado;sabado;Saturday
12/abr;22169;1442;1223;99;domingo;domingo;Sunday
13/abr;23430;1261;1328;105;segunda-feira;segunda;Monday
14/abr;25262;1832;1532;204;terca-feira;terca;Tuesday
15/abr;28320;3058;1736;204;quarta-feira;quarta;Wednesday
16/abr;30425;2105;1924;188;quinta-feira;quinta;Thursday
17/abr;33682;3257;2141;217;sexta-feira;sexta;Friday
18/abr;36599;2917;2347;206;sabado;sabado;Saturday
19/abr;38654;2055;2462;115;domingo;domingo;Sunday
20/abr;40581;1927;2575;113;segunda-feira;segunda;Monday
21/abr;43079;2498;2741;166;terca-feira;terca;Tuesday
22/abr;45757;2678;2906;165;quarta-feira;quarta;Wednesday
23/abr;49492;3735;3313;407;quinta-feira;quinta;Thursday
24/abr;52995;3503;3670;357;sexta-feira;sexta;Friday
25/abr;58509;5514;4016;346;sabado;sabado;Saturday
26/abr;61888;3379;4205;189;domingo;domingo;Sunday
27/abr;66501;4613;4543;338;segunda-feira;segunda;Monday
28/abr;71886;5385;5017;474;terca-feira;terca;Tuesday
29/abr;78162;6276;5466;449;quarta-feira;quarta;Wednesday
30/abr;85380;7218;5901;435;quinta-feira;quinta;Thursday
